DMS_N,DMS_E,dx_range,dy_range,dz_range
51.33878,6.60335,"(-0.3511000000000001, 0.019399999999999973)","(-0.09170000000000013, 0.0013999999999998456)","(-0.033400000000000096, 0.3335000000000001)"
51.33880,6.60320,"(-0.3511000000000001, 0.019399999999999973)","(-0.09170000000000013, 0.0013999999999998456)","(-0.033400000000000096, 0.3335000000000001)"
51.33878,6.60339,"(-0.3511000000000001, 0.019399999999999973)","(-0.09170000000000013, 0.0013999999999998456)","(-0.033400000000000096, 0.3335000000000001)"
51.33865,6.60345,"(-0.3511000000000001, 0.019399999999999973)","(-0.09170000000000013, 0.0013999999999998456)","(-0.033400000000000096, 0.3335000000000001)"
