start_time,end_time,dx_range,dy_range,dz_range
255.97299999999998,280.177,"(-0.04229999999999999, 0.05550000000000002)","(-0.060799999999999986, 0.03)","(-0.0785, 0.0222)"
280.721,285.8640000000001,"(-0.039999999999999994, 0.05279999999999998)","(-0.0578, 0.028099999999999986)","(-0.07669999999999999, 0.01949999999999999)"
259.725,280.177,"(-0.04229999999999999, 0.05550000000000002)","(-0.060799999999999986, 0.03)","(-0.0785, 0.0222)"
280.721,289.525,"(-0.039999999999999994, 0.0544)","(-0.0578, 0.03)","(-0.07669999999999999, 0.02310000000000001)"
262.508,280.177,"(-0.04229999999999999, 0.05550000000000002)","(-0.060799999999999986, 0.028200000000000006)","(-0.0785, 0.021799999999999986)"
280.721,292.49,"(-0.039999999999999994, 0.0544)","(-0.05880000000000001, 0.03)","(-0.0774, 0.02310000000000001)"
268.529,298.42,"(-0.041900000000000014, 0.05550000000000002)","(-0.06119999999999999, 0.03)","(-0.07839999999999997, 0.02310000000000001)"
271.161,280.177,"(-0.04130000000000002, 0.05550000000000002)","(-0.060799999999999986, 0.028200000000000006)","(-0.07839999999999997, 0.019699999999999995)"
280.721,300.961,"(-0.041900000000000014, 0.0544)","(-0.06119999999999999, 0.03)","(-0.0774, 0.02310000000000001)"
274.065,280.177,"(-0.04130000000000002, 0.050100000000000006)","(-0.060799999999999986, 0.028200000000000006)","(-0.07839999999999997, 0.018600000000000002)"
280.721,303.0490000000001,"(-0.041900000000000014, 0.0544)","(-0.06119999999999999, 0.03)","(-0.0774, 0.02310000000000001)"
303.594,304.047,"(-0.042400000000000014, 0.0345)","(-0.05989999999999999, 0.0131)","(-0.07449999999999997, 0.015399999999999997)"
277.69599999999997,280.177,"(-0.04130000000000002, 0.046199999999999984)","(-0.060799999999999986, 0.02299999999999999)","(-0.0759, 0.014600000000000004)"
303.594,307.496,"(-0.042400000000000014, 0.050700000000000016)","(-0.05989999999999999, 0.029)","(-0.07909999999999999, 0.02099999999999999)"
283.777,303.0490000000001,"(-0.041900000000000014, 0.0544)","(-0.06119999999999999, 0.03)","(-0.0774, 0.02310000000000001)"
